"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G17.P04",0.043,0.051,0,0.001,0.006,0.023,0.064,0.151,0.18,"4.3% [0%, 18%]"
"p.G18.P04",0.052,0.079,0,0,0.004,0.019,0.071,0.202,0.258,"5.2% [0%, 25.8%]"
"p.G19.P04",0.124,0.138,0.001,0.001,0.015,0.065,0.198,0.417,0.477,"12.4% [0.1%, 47.7%]"
"p.G20.P04",0.047,0.059,0,0,0.004,0.019,0.074,0.179,0.206,"4.7% [0%, 20.6%]"
"p.G21.P04",0.705,0.145,0.411,0.457,0.614,0.714,0.81,0.922,0.951,"70.5% [41.1%, 95.1%]"
"p.G22.P04",0.719,0.127,0.447,0.499,0.642,0.729,0.812,0.911,0.936,"71.9% [44.7%, 93.6%]"
"p.G23.P04",0.483,0.144,0.182,0.254,0.394,0.483,0.574,0.721,0.768,"48.3% [18.2%, 76.8%]"
"p.G24.P04",0.078,0.086,0,0.001,0.011,0.046,0.121,0.253,0.298,"7.8% [0%, 29.8%]"
"p.G25.P04",0.037,0.046,0,0.001,0.006,0.02,0.053,0.125,0.162,"3.7% [0%, 16.2%]"
"p.G26.P04",0.034,0.044,0,0,0.004,0.016,0.045,0.128,0.158,"3.4% [0%, 15.8%]"
"p.G27.P04",0.072,0.101,0,0.001,0.008,0.031,0.088,0.302,0.378,"7.2% [0%, 37.8%]"
"p.G28.P04",0.069,0.078,0,0.001,0.011,0.039,0.103,0.233,0.272,"6.9% [0%, 27.2%]"
"p.G29.P04",0.14,0.156,0,0.001,0.016,0.075,0.223,0.466,0.537,"14% [0%, 53.7%]"
"p.G30.P04",0.008,0.012,0,0,0.001,0.003,0.01,0.035,0.046,"0.8% [0%, 4.6%]"
"p.G31.P04",0.106,0.129,0,0.001,0.011,0.054,0.156,0.371,0.47,"10.6% [0%, 47%]"
"p.G32.P04",0.06,0.068,0.001,0.001,0.01,0.034,0.088,0.204,0.247,"6% [0.1%, 24.7%]"
"p.G33.P04",0.121,0.113,0.001,0.001,0.018,0.09,0.202,0.336,0.37,"12.1% [0.1%, 37%]"
"p.G34.P04",0.068,0.075,0,0.001,0.009,0.037,0.107,0.229,0.267,"6.8% [0%, 26.7%]"
"p.G35.P04",0.09,0.118,0,0.001,0.011,0.042,0.125,0.327,0.432,"9% [0%, 43.2%]"
"p.G36.P04",0.086,0.104,0.001,0.001,0.012,0.048,0.115,0.307,0.393,"8.6% [0.1%, 39.3%]"
"p.G37.P04",0.039,0.071,0,0,0.003,0.014,0.044,0.163,0.223,"3.9% [0%, 22.3%]"
"p.G38.P04",0.037,0.044,0,0,0.005,0.019,0.054,0.131,0.162,"3.7% [0%, 16.2%]"
"p.G39.P04",0.047,0.078,0,0,0.004,0.017,0.06,0.184,0.236,"4.7% [0%, 23.6%]"
"p.G40.P04",0.022,0.032,0,0,0.003,0.01,0.03,0.091,0.116,"2.2% [0%, 11.6%]"
"p.G41.P04",0.1,0.103,0,0.001,0.012,0.062,0.167,0.304,0.345,"10% [0%, 34.5%]"
"p.G42.P04",0.215,0.166,0.001,0.002,0.064,0.203,0.328,0.505,0.594,"21.5% [0.1%, 59.4%]"
"p.G43.P04",0.066,0.071,0.001,0.001,0.011,0.038,0.1,0.21,0.245,"6.6% [0.1%, 24.5%]"
"p.G44.P04",0.101,0.1,0.001,0.002,0.017,0.067,0.16,0.306,0.346,"10.1% [0.1%, 34.6%]"
"p.G45.P04",0.563,0.195,0.047,0.19,0.453,0.585,0.698,0.839,0.885,"56.3% [4.7%, 88.5%]"
"p.G46.P04",0.06,0.077,0,0.001,0.008,0.028,0.081,0.22,0.28,"6% [0%, 28%]"
"p.G47.P04",0.074,0.111,0,0.001,0.007,0.026,0.087,0.337,0.418,"7.4% [0%, 41.8%]"
"p.G48.P04",0.044,0.077,0,0,0.002,0.011,0.048,0.202,0.266,"4.4% [0%, 26.6%]"
"p.G49.P04",0.127,0.123,0,0.001,0.019,0.088,0.214,0.361,0.402,"12.7% [0%, 40.2%]"
"p.G50.P04",0.343,0.14,0.014,0.053,0.263,0.359,0.437,0.546,0.58,"34.3% [1.4%, 58%]"
"p.G51.P04",0.047,0.056,0,0.001,0.007,0.025,0.068,0.163,0.199,"4.7% [0%, 19.9%]"
"p.G52.P04",0.034,0.043,0,0.001,0.005,0.018,0.048,0.121,0.154,"3.4% [0%, 15.4%]"
"p.G53.P04",0.056,0.062,0,0.001,0.009,0.032,0.083,0.187,0.219,"5.6% [0%, 21.9%]"
"p.G54.P04",0.037,0.078,0,0,0.002,0.01,0.035,0.172,0.278,"3.7% [0%, 27.8%]"
"p.G55.P04",0.029,0.037,0,0.001,0.004,0.015,0.04,0.104,0.126,"2.9% [0%, 12.6%]"
"p.G01.P05",0.064,0.057,0,0.001,0.009,0.052,0.107,0.168,0.184,"6.4% [0%, 18.4%]"
"p.G02.P05",0.032,0.033,0,0,0.005,0.02,0.051,0.099,0.113,"3.2% [0%, 11.3%]"
"p.G03.P05",0.059,0.047,0,0.001,0.015,0.055,0.093,0.144,0.159,"5.9% [0%, 15.9%]"
"p.G04.P05",0.098,0.05,0.002,0.005,0.067,0.102,0.133,0.173,0.186,"9.8% [0.2%, 18.6%]"
"p.G05.P05",0.013,0.017,0,0,0.002,0.006,0.017,0.047,0.062,"1.3% [0%, 6.2%]"
"p.G06.P05",0.054,0.056,0,0,0.006,0.031,0.096,0.163,0.18,"5.4% [0%, 18%]"
"p.G07.P05",0.017,0.022,0,0,0.002,0.008,0.025,0.064,0.079,"1.7% [0%, 7.9%]"
"p.G08.P05",0.012,0.029,0,0,0.001,0.004,0.012,0.047,0.09,"1.2% [0%, 9%]"
"p.G09.P05",0.149,0.098,0.001,0.002,0.064,0.153,0.227,0.307,0.326,"14.9% [0.1%, 32.6%]"
"p.G10.P05",0.196,0.073,0.054,0.091,0.151,0.193,0.236,0.322,0.37,"19.6% [5.4%, 37%]"
"p.G11.P05",0.147,0.09,0.001,0.003,0.078,0.152,0.212,0.29,0.313,"14.7% [0.1%, 31.3%]"
