"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G16.P02",0.694,0.161,0.358,0.439,0.597,0.708,0.812,0.917,0.946,"69.4% [35.8%, 94.6%]"
"p.G17.P02",0.152,0.132,0.003,0.006,0.045,0.12,0.225,0.406,0.475,"15.2% [0.3%, 47.5%]"
"p.G18.P02",0.05,0.047,0.002,0.004,0.015,0.037,0.07,0.144,0.176,"5% [0.2%, 17.6%]"
"p.G19.P02",0.157,0.17,0.003,0.006,0.027,0.079,0.251,0.521,0.568,"15.7% [0.3%, 56.8%]"
"p.G20.P02",0.425,0.161,0.039,0.13,0.332,0.428,0.524,0.693,0.744,"42.5% [3.9%, 74.4%]"
"p.G21.P02",0.087,0.084,0.002,0.003,0.021,0.061,0.129,0.257,0.3,"8.7% [0.2%, 30%]"
"p.G22.P02",0.121,0.106,0.003,0.006,0.032,0.094,0.185,0.319,0.367,"12.1% [0.3%, 36.7%]"
"p.G23.P02",0.09,0.081,0.003,0.005,0.026,0.067,0.134,0.253,0.291,"9% [0.3%, 29.1%]"
"p.G24.P02",0.109,0.109,0.004,0.006,0.028,0.071,0.155,0.351,0.412,"10.9% [0.4%, 41.2%]"
"p.G25.P02",0.077,0.078,0.002,0.004,0.02,0.052,0.11,0.232,0.293,"7.7% [0.2%, 29.3%]"
"p.G26.P02",0.031,0.035,0.001,0.002,0.009,0.02,0.042,0.095,0.122,"3.1% [0.1%, 12.2%]"
"p.G27.P02",0.161,0.13,0.006,0.009,0.049,0.125,0.251,0.415,0.452,"16.1% [0.6%, 45.2%]"
"p.G28.P02",0.101,0.087,0.004,0.007,0.032,0.077,0.148,0.271,0.325,"10.1% [0.4%, 32.5%]"
"p.G29.P02",0.161,0.134,0.006,0.009,0.049,0.128,0.24,0.429,0.479,"16.1% [0.6%, 47.9%]"
"p.G30.P02",0.131,0.121,0.002,0.003,0.027,0.098,0.207,0.36,0.408,"13.1% [0.2%, 40.8%]"
"p.G31.P02",0.103,0.096,0.004,0.007,0.029,0.075,0.15,0.294,0.353,"10.3% [0.4%, 35.3%]"
"p.G32.P02",0.071,0.066,0.003,0.004,0.021,0.052,0.101,0.2,0.241,"7.1% [0.3%, 24.1%]"
"p.G33.P02",0.248,0.175,0.007,0.014,0.102,0.23,0.36,0.567,0.635,"24.8% [0.7%, 63.5%]"
"p.G34.P02",0.018,0.018,0.001,0.001,0.005,0.012,0.024,0.054,0.07,"1.8% [0.1%, 7%]"
"p.G35.P02",0.128,0.112,0.005,0.008,0.038,0.094,0.19,0.355,0.399,"12.8% [0.5%, 39.9%]"
"p.G36.P02",0.159,0.127,0.007,0.012,0.052,0.125,0.243,0.405,0.447,"15.9% [0.7%, 44.7%]"
"p.G37.P02",0.054,0.051,0.002,0.003,0.016,0.037,0.077,0.15,0.181,"5.4% [0.2%, 18.1%]"
"p.G38.P02",0.168,0.133,0.004,0.008,0.055,0.142,0.25,0.416,0.475,"16.8% [0.4%, 47.5%]"
"p.G39.P02",0.058,0.057,0.002,0.004,0.016,0.04,0.081,0.171,0.214,"5.8% [0.2%, 21.4%]"
"p.G40.P02",0.182,0.141,0.003,0.007,0.06,0.161,0.276,0.434,0.499,"18.2% [0.3%, 49.9%]"
"p.G41.P02",0.309,0.217,0.007,0.014,0.114,0.29,0.467,0.699,0.749,"30.9% [0.7%, 74.9%]"
"p.G42.P02",0.104,0.093,0.003,0.007,0.031,0.077,0.152,0.289,0.332,"10.4% [0.3%, 33.2%]"
"p.G43.P02",0.141,0.121,0.004,0.007,0.04,0.112,0.213,0.373,0.427,"14.1% [0.4%, 42.7%]"
"p.G44.P02",0.11,0.098,0.004,0.007,0.035,0.083,0.161,0.301,0.362,"11% [0.4%, 36.2%]"
"p.G45.P02",0.214,0.168,0.005,0.009,0.067,0.182,0.328,0.541,0.593,"21.4% [0.5%, 59.3%]"
"p.G46.P02",0.104,0.088,0.004,0.008,0.034,0.08,0.151,0.279,0.321,"10.4% [0.4%, 32.1%]"
"p.G47.P02",0.097,0.085,0.004,0.006,0.028,0.073,0.145,0.273,0.316,"9.7% [0.4%, 31.6%]"
"p.G48.P02",0.684,0.182,0.156,0.357,0.596,0.713,0.811,0.921,0.946,"68.4% [15.6%, 94.6%]"
"p.G49.P02",0.214,0.168,0.005,0.011,0.076,0.178,0.317,0.537,0.61,"21.4% [0.5%, 61%]"
