Vandområde;MarinReferenceKode;Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;MC-stationsnr;Dato;Tid;MiljøcenterNavn;Dataleverandør;Antal delprøver (stk);Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Maskevidde (um);Haps breddegrad;Haps længdegrad;Haps X_UTM;Haps Y_UTM;Artsrække;Artsnavn;Stadie;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askevægt (g);Kontrol;Kvalitet;ObsSted_bredde;ObsSted_længde;ObsSted_X_UTM;ObsSted_Y_UTM
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Arthropoda";"Chironomidae indet.";"Ej oplyst";"1";"0,0027";"0,0002";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Mollusca";"Theodoxus fluviatilis";"Ej oplyst";"1";"0,0309";"0,0163";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Mollusca";"Hydrobia sp.";"Ej oplyst";"1";"0,0058";"0,0038";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Mollusca";"Mytilus edulis";"Ej oplyst";"2";"2,6797";"1,3741";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"37";"1.40";"Haps";"143";"1000";"5442,407";"1149,450";"681948";"6065825";"Annelida";"Hediste diversicolor";"Ej oplyst";"2";"0,0512";"0,0063";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"37";"1.40";"Haps";"143";"1000";"5442,407";"1149,450";"681948";"6065825";"Annelida";"Scoloplos armiger";"Ej oplyst";"1";"0,0082";"0,0017";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"37";"1.40";"Haps";"143";"1000";"5442,407";"1149,450";"681948";"6065825";"Arthropoda";"Chironomidae indet.";"Ej oplyst";"4";"0,0159";"0,0019";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"37";"1.40";"Haps";"143";"1000";"5442,407";"1149,450";"681948";"6065825";"Mollusca";"Hydrobia sp.";"Ej oplyst";"7";"0,0434";"0,0235";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"37";"1.40";"Haps";"143";"1000";"5442,407";"1149,450";"681948";"6065825";"Mollusca";"Pusillina sarsi";"Ej oplyst";"2";"0,0315";"0,015";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"38";"2.50";"Haps";"143";"1000";"5442,559";"1150,044";"682575";"6066132";"Annelida";"Hediste diversicolor";"Ej oplyst";"4";"0,2338";"0,0302";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
