"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","propmoving.exp","dist","timefrozen_tot","timefrozen_tot.ln","timefrozen_ave","centretime","centretime.lnplus1","Notes"
"63",2089,"G31",13.7,39,1.51671124112481,1,"m","07-07-2020","14:50","ACT",2,6,"A","ACT2_6A","D",42.17656326,56.17679596,164.0066376,0.729414403,2.07386580242338,52801.19531,17.7,2.87356463957978,4.4,23.1,3.18221184049661,""
"64",2099,"G12",13.4,32,1.32995082506824,2,"m","14-07-2020","10:40","ACT",3,2,"E","ACT3_2E","E",20.3107338,58.79472351,74.04272461,0.313840419,1.36867130518354,26023.45117,635.9,6.45504131827336,21.2,24.5,3.23867845216438,""
"65",2099,"G12",13.4,30,1.24682889850148,2,"m","30-06-2020","13:34","ACT",1,5,"B","ACT1_5B","E",36.90002823,76.80284119,127.0428085,0.456312031,1.57824272859982,46231.17969,234.2,5.45617545116362,11.7,24.1,3.22286784613774,""
"66",2099,"G12",13.4,30,1.24682889850148,2,"m","07-07-2020","12:50","ACT",2,4,"D","ACT2_4D","E",25.7948494,56.14007187,100.2844238,0.417452574,1.51808940528306,32937.01172,266.4,5.58499893866623,7.4,31.4,3.47815842279828,""
"67",2101,"G40",12.8,28,1.33514404296875,1,"m","30-06-2020","09:17","ACT",1,1,"E","ACT1_1E","C",32.94677734,55.33686066,116.3058548,0.560580134,1.75168841959256,42090.96094,45.7,3.82209829790016,4.2,36.6,3.62700405039585,""
"68",2101,"G40",12.8,28,1.33514404296875,1,"m","14-07-2020","12:34","ACT",3,4,"G","ACT3_4G","C",2.308203459,11.62896729,12.74443436,0.004028225,1.00403634920337,4267.463379,1196.7,7.08732304757947,99.7,0,0,""
"69",2101,"G40",12.8,27,1.28746032714844,1,"m","07-07-2020","10:56","ACT",2,2,"B","ACT2_2B","C",12.09745121,50.99975967,48.68787003,0.198966548,1.22014114905546,15800.65234,727.6,6.58975144664397,12.5,79.8,4.39197696552705,""
"70",2110,"G28",14.9,43,1.29989912178211,1,"m","30-06-2020","12:27","ACT",1,4,"C","ACT1_4C","D",24.91535759,59.92234802,89.60579681,0.411757618,1.50946852398547,31803.21875,480.9,6.17565934828362,15.5,71.1,4.2780540442909,""
"71",2110,"G28",14.9,45,1.36035954605104,1,"m","14-07-2020","09:42","ACT",3,1,"D","ACT3_1D","D",35.23678207,55.53258896,128.8289795,0.60304445,1.82767460286253,44635.66797,156.7,5.05433314936197,8.7,224.5,5.41832015894273,""
"72",2110,"G28",14.9,44,1.33012933391657,1,"m","07-07-2020","13:45","ACT",2,5,"F","ACT2_5F","D",27.6168251,62.41623688,103.3243179,0.417351931,1.51793662789916,34374.39063,514.2,6.24261229483179,13.2,169.9,5.14107859012155,""
"73",2112,"G39",12.9,32,1.49066772131408,1,"m","07-07-2020","10:56","ACT",2,2,"A","ACT2_2A","C",36.86471176,60.9798851,123.1084137,0.57379663,1.77499326756667,46989.29297,55.5,4.01638302075239,5.5,40.3,3.72086249996699,""
"74",2112,"G39",12.9,32,1.49066772131408,1,"m","30-06-2020","09:17","ACT",1,1,"D","ACT1_1D","C",45.77867508,65.9125824,156.6507263,0.670799017,1.95579941346342,58592.18359,42.7,3.75419892023458,4.7,50.4,3.93963817246112,""
"75",2112,"G39",12.9,33,1.53725108760514,1,"m","14-07-2020","13:26","ACT",3,5,"B","ACT3_5B","C",21.20429993,54.10448837,73.09890747,0.354606181,1.42561910782348,27153.66992,463.8,6.13945342482143,7.5,56.7,4.05525717351405,""
"76",2116,"G27",13.4,27,1.12214600865133,1,"m","14-07-2020","09:42","ACT",3,1,"G","ACT3_1G","D",22.4446888,52.49478531,84.50549316,0.370197207,1.44802014621696,30368.54883,415.7,6.02996384625859,7.3,45,3.8286413964891,"possible cataract"
"77",2116,"G27",13.4,28,1.16370697193471,1,"m","30-06-2020","11:28","ACT",1,3,"D","ACT1_3D","D",53.27090454,69.88514709,205.3202667,0.748676658,2.11420035444053,71356.05469,87.8,4.47506150064107,5.5,24.2,3.22684399451738,""
"78",2116,"G27",13.4,29,1.2052679352181,1,"m","07-07-2020","14:50","ACT",2,6,"F","ACT2_6F","D",36.91891098,64.75605774,146.7367096,0.537579119,1.71185763819152,46163.59766,221.7,5.40132511662227,6,38.1,3.66612246699132,""
"79",2119,"G34",15.4,55,1.50591523504325,2,"f","07-07-2020","14:50","ACT",2,6,"H","ACT2_6H","D",22.96009636,46.93788147,100.6687317,0.445586294,1.56140537012593,30272.33594,395.1,5.97913889741734,10.4,7.9,2.18605127673809,""
"80",2119,"G34",15.4,53,1.45115468104168,2,"f","14-07-2020","10:40","ACT",3,2,"C","ACT3_2C","D",2.572062492,15.39129925,16.39823723,0.034614958,1.03522102847497,4663.263184,1127.6,7.02784675923996,35.2,0,0,"moderate fin infection"
"81",2119,"G34",15.4,55,1.50591523504325,2,"f","30-06-2020","11:28","ACT",1,3,"H","ACT1_3H","D",29.44417191,54.52335358,110.9964371,0.50731343,1.66082327795348,38407.92969,230.5,5.4402508624367,7,55.4,4.03246915850401,""
"82",2122,"G25",13.7,29,1.12781092288768,1,"m","30-06-2020","13:34","ACT",1,5,"A","ACT1_5A","D",27.28488731,46.17334747,122.3486099,0.550582767,1.73426339490746,36484.07422,94.7,4.55071400019203,5.9,10.9,2.47653840011748,""
"83",2122,"G25",13.7,28,1.08892089106397,1,"m","14-07-2020","09:42","ACT",3,1,"A","ACT3_1A","D",27.40758324,48.52625656,118.018959,0.529388726,1.69789411281391,36171.94141,282.5,5.6436785505865,6.6,2.9,1.3609765531356,""
"84",2122,"G25",13.7,29,1.12781092288768,1,"m","07-07-2020","14:50","ACT",2,6,"D","ACT2_6D","D",32.20535278,48.32897568,147.3959351,0.630643666,1.87881952239151,42278.37109,99.8,4.60316818331742,5.5,35.2,3.58905911883173,""
"85",2126,"G36",15.6,52,1.36971290817445,1,"m","07-07-2020","13:45","ACT",2,5,"E","ACT2_5E","D",27.21306419,45.6930542,104.623848,0.560310185,1.75121561687456,34807.34766,243.1,5.49347288132208,7.6,25.8,3.28840188751681,""
"86",2126,"G36",15.6,52,1.36971290817445,1,"m","30-06-2020","12:27","ACT",1,4,"H","ACT1_4H","D",43.80353546,56.24193573,169.1217499,0.757689834,2.13334214893018,56754.04297,16.4,2.79728133483015,5.5,26.5,3.31418600467253,""
"87",2126,"G36",15.6,53,1.39605354102396,1,"m","14-07-2020","09:42","ACT",3,1,"E","ACT3_1E","D",34.38957596,49.86284256,124.5514679,0.657494843,1.92995144197145,43960.74609,109.2,4.6931810633108,5.2,35.3,3.5918177412708,""
"88",2133,"G41",14.2,31,1.08267139037358,1,"m","07-07-2020","09:52","ACT",2,1,"E","ACT2_1E","C",21.51032829,46.391716,89.02384949,0.424824983,1.52932273876194,28153.36914,309.9,5.7362496647937,8.2,139.7,4.94662996412034,""
"89",2133,"G41",14.2,32,1.11759627393402,1,"m","30-06-2020","10:27","ACT",1,2,"H","ACT1_2H","C",10.85033894,54.24602127,39.13879013,0.170657858,1.18608487014193,14169.86816,828.7,6.719858207855,23.7,8,2.19722457733622,""
"90",2147,"G26",13,31,1.41101502048248,3,"f","07-07-2020","14:50","ACT",2,6,"B","ACT2_6B","D",19.80940628,53.48014832,80.4477005,0.324287385,1.38304471631782,25639.79883,568.1,6.34229745956308,12.4,41.8,3.75653810258775,""
"91",2147,"G26",13,32,1.45653163404643,3,"f","14-07-2020","09:42","ACT",3,1,"F","ACT3_1F","D",12.74363518,48.3531723,47.39408875,0.221679688,1.24817150951383,16848.72656,763,6.63725803128446,15.6,27.9,3.36384159511839,"moderate fin infection"
"92",2147,"G26",13,31,1.41101502048248,3,"f","30-06-2020","12:27","ACT",1,4,"A","ACT1_4A","D",37.62119675,55.492733,135.9152527,0.653478026,1.92221472909261,47772.97656,89.3,4.49200148788245,5.3,45.2,3.83297979808769,""
"93",2153,"G06",13.2,30,1.30436597378746,1,"m","14-07-2020","11:36","ACT",3,3,"C","ACT3_3C","E",41.73993301,63.42619705,146.7123718,0.629170477,1.87605370392503,53501.11328,204.9,5.32252205524485,5.3,80.6,4.40182926197006,""
"94",2153,"G06",13.2,29,1.26088710799455,1,"m","07-07-2020","11:51","ACT",2,3,"C","ACT2_3C","E",52.02302933,71.11708069,160.4956665,0.683942437,1.98167498081687,65426.58203,79,4.36944785246702,6.1,53.3,3.99452422693989,"tracking failed to reach >90% detection"
"95",2153,"G06",13.2,29,1.26088710799455,1,"m","30-06-2020","14:40","ACT",1,6,"D","ACT1_6D","E",61.23959732,77.69376373,201.8768311,0.771707356,2.1634568933782,77516.76563,18.3,2.90690105984738,4.6,63.6,4.16821441078856,""
"96",2156,"G29",16.7,61,1.30972591730734,1,"m","07-07-2020","11:51","ACT",2,3,"D","ACT2_3D","E",36.35943604,56.86929703,136.3191376,0.615389109,1.85037645763067,47750.35547,193.5,5.26527751246984,6.9,28,3.36729582998647,""
"97",2156,"G29",16.7,60,1.28825500063017,1,"m","30-06-2020","14:40","ACT",1,6,"B","ACT1_6B","E",35.35190201,64.68862152,115.8107376,0.515849769,1.6750613123581,45533.46094,120.8,4.79413628550071,6,54.8,4.02177386938726,""
"98",2156,"G29",16.7,64,1.37413866733885,1,"m","14-07-2020","10:40","ACT",3,2,"D","ACT3_2D","E",29.46918106,54.66563034,112.2802505,0.502655506,1.65310527822972,39146.83984,226.1,5.42097737928392,9,17,2.89037175789616,"moderate fin infection"
