"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergetime","emergelat","emergelat.bin","endpointtime","endpointlat","endpointlat.bin","endpointspeed","endpointspeed.ln","refugereturntime","refugereturnlat","refugereturnlat.ln","Notes"
"90",2009,"G44",10.5,13,1.12298887809092,2,"m","16-07-2020","14:29","14:39","EXPL",3,5,"E","EXPL3_5E","C","01:17",77,0,NA,2700,0,NA,NA,"01:57",40,3.68887945411394,""
"91",2070,"G45",11,18,1.35236664162284,3,"f","02-07-2020","14:20","14:30","EXPL",1,6,"C","EXPL1_6C","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"92",2024,"G46",16.3,50,1.1545352337599,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"A","EXPL1_5A","C","04:57",297,0,NA,2700,0,NA,NA,"15:28",631,6.44730586254121,""
"93",2024,"G46",16.3,50,1.1545352337599,1,"m","09-07-2020","12:52","13:02","EXPL",2,5,"D","EXPL2_5D","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"94",2024,"G46",16.3,52,1.2007166431103,1,"m","16-07-2020","15:33","15:43","EXPL",3,6,"B","EXPL3_6B","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"95",2084,"G48",9.8,12,1.27497896284711,3,"f","02-07-2020","13:15","13:25","EXPL",1,5,"B","EXPL1_5B","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"96",2040,"G49",13.2,35,1.52176030275204,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"D","EXPL1_4D","C","00:01",1,1,"00:54",54,1,53,3.97029191355212,"01:23",82,4.40671924726425,""
"97",2040,"G49",13.2,35,1.52176030275204,2,"m","09-07-2020","12:52","13:02","EXPL",2,5,"C","EXPL2_5C","C","00:11",11,1,"00:31",31,1,20,2.99573227355399,"01:39",88,4.47733681447821,""
"98",2040,"G49",13.2,36,1.56523916854495,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"D","EXPL3_7D","C","00:01",1,1,"00:28",28,1,27,3.29583686600433,"03:40",219,5.3890717298165,""
"99",2044,"G51",14,35,1.27551020408163,2,"m","02-07-2020","14:20","14:30","EXPL",1,6,"E","EXPL1_6E","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"100",2044,"G51",14,35,1.27551020408163,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"D","EXPL2_4D","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"101",2044,"G51",14,35,1.27551020408163,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"A","EXPL3_7A","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"102",1384,"G52",12.5,27,1.3824,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"E","EXPL1_5E","C","02:38",158,0,"18:50",1130,0,972,6.87935580446044,"03:04",26,3.25809653802148,""
"103",1384,"G52",12.5,27,1.3824,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"D","EXPL2_3D","C","00:01",1,1,"00:17",17,1,16,2.77258872223978,"00:35",34,3.52636052461616,""
"104",1384,"G52",12.5,26,1.3312,1,"m","16-07-2020","15:33","15:43","EXPL",3,6,"E","EXPL3_6E","C","00:06",6,1,"00:42",42,1,36,3.58351893845611,"00:24",18,2.89037175789616,""
"105",1395,"G53",14.3,41,1.40208952375806,1,"m","02-07-2020","14:20","14:30","EXPL",1,6,"B","EXPL1_6B","C","02:46",166,0,"04:09",249,0,83,4.4188406077966,"05:16",150,5.01063529409626,""
"106",1395,"G53",14.3,41,1.40208952375806,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"C","EXPL2_3C","C","00:02",2,1,"00:17",17,1,15,2.70805020110221,"00:38",36,3.58351893845611,""
"107",1395,"G53",14.3,41,1.40208952375806,1,"m","16-07-2020","16:40","16:50","EXPL",3,7,"B","EXPL3_7B","C","00:39",39,1,NA,2700,0,NA,NA,"00:49",10,2.30258509299405,""
"108",1260,"G54",9.5,11,1.28298585799679,2,"m","02-07-2020","15:23","15:33","EXPL",1,7,"A","EXPL1_7A","C","01:12",72,0,"01:25",85,1,13,2.56494935746154,"01:47",35,3.55534806148941,""
"109",1260,"G54",9.5,11,1.28298585799679,2,"m","09-07-2020","12:52","13:02","EXPL",2,5,"B","EXPL2_5B","C","00:46",46,1,"01:05",65,1,19,2.94443897916644,"01:20",34,3.52636052461616,""
"110",1260,"G54",9.5,10,1.16635077999708,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"C","EXPL3_7C","C","00:31",31,1,"02:17",137,1,106,4.66343909411207,"00:44",13,2.56494935746154,""
"111",2065,"G55",11.3,23,1.5940153732387,3,"m","02-07-2020","15:23","15:33","EXPL",1,7,"B","EXPL1_7B","C","06:00",360,0,NA,2700,0,NA,NA,"06:33",33,3.49650756146648,""
"112",2065,"G55",11.3,24,1.66332038946647,3,"m","09-07-2020","12:52","13:02","EXPL",2,5,"A","EXPL2_5A","C","00:55",55,1,NA,2700,0,NA,NA,"01:02",7,1.94591014905531,""
"113",2065,"G55",11.3,24,1.66332038946647,3,"m","16-07-2020","16:40","16:50","EXPL",3,7,"E","EXPL3_7E","C","04:33",273,0,NA,2700,0,NA,NA,"04:52",19,2.94443897916644,""
