"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centretime50","centretime75","centretime100","Notes"
"70","G40",2101,12.8,28,1.33514404296875,1,"m","14-07-2020","12:34","ACT","trial 3","4","G","ACT3_4G","C",2.248,6.68,12.554,0.071,4127,2,1200,2,0,0,0,""
"71","G40",2101,12.8,27,1.28746032714844,1,"m","07-07-2020","10:56","ACT","trial 2","2","B","ACT2_2B","C",11.552,35.12,46.433,0.295,15082,60,788,2.29169444444444,266.233333333333,106.266666666667,57.8,""
"72","G28",2110,14.9,43,1.29989912178211,1,"m","30-06-2020","12:27","ACT","trial 1","4","C","ACT1_4C","D",23.811,48.465,85.111,0.502,30368,28,507,2.53931296558796,548.8,112.733333333333,25.8,""
"73","G28",2110,14.9,45,1.36035954605104,1,"m","14-07-2020","09:42","ACT","trial 3","1","D","ACT3_1D","D",34.858,46.422,127.438,0.735,44193,25,222,2.6869438692708,535.033333333333,306.066666666667,156.866666666667,""
"74","G28",2110,14.9,44,1.33012933391657,1,"m","07-07-2020","13:45","ACT","trial 2","5","F","ACT2_5F","D",26.484,50.648,98.931,0.504,32962,40,548,2.99730098221987,809,345.733333333333,112.8,""
"75","G39",2112,12.9,32,1.49066772131408,1,"m","07-07-2020","10:56","ACT","trial 2","2","A","ACT2_2A","C",35.719,49.726,119.012,0.701,45451,23,121,1.88675063820237,130.9,62.9666666666667,30.9,""
"76","G39",2112,12.9,32,1.49066772131408,1,"m","30-06-2020","09:17","ACT","trial 1","1","D","ACT1_1D","C",45.09,56.531,153.373,0.784,57730,11,47,2.06694978053925,261.933333333333,77.8333333333333,29.6,""
"77","G39",2112,12.9,33,1.53725108760514,1,"m","14-07-2020","13:26","ACT","trial 3","5","B","ACT3_5B","C",20.723,41.657,71.303,0.47,26527,80,617,2.37692692971228,348.233333333333,113.9,38.5,""
"78","G27",2116,13.4,27,1.12214600865133,1,"m","14-07-2020","09:42","ACT","trial 3","1","G","ACT3_1G","D",21.535,40.174,79.997,0.492,29157,63,511,1.95297151632813,116.5,58.4666666666667,33.8333333333333,"possible cataract"
"79","G27",2116,13.4,28,1.16370697193471,1,"m","30-06-2020","11:28","ACT","trial 1","3","D","ACT1_3D","D",50.683,59.802,190.227,0.842,68459,16,75,1.70990572635466,119.733333333333,32.6666666666667,14.6,""
"80","G27",2116,13.4,29,1.2052679352181,1,"m","07-07-2020","14:50","ACT","trial 2","6","F","ACT2_6F","D",33.979,51.514,130.951,0.634,42358,39,244,1.80330179182605,126.7,41.8666666666667,20.2666666666667,""
"81","G34",2119,15.4,55,1.50591523504325,2,"f","07-07-2020","14:50","ACT","trial 2","6","H","ACT2_6H","D",21.942,36.156,95.85,0.58,29075,42,455,1.6351223053725,76.9666666666667,12.9333333333333,5.73333333333333,""
"82","G34",2119,15.4,53,1.45115468104168,2,"f","14-07-2020","10:40","ACT","trial 3","2","C","ACT3_2C","D",2.454,9.645,15.77,0.096,4451,19,1180,1.58633333333333,0,0,0,"moderate fin infection"
"83","G34",2119,15.4,55,1.50591523504325,2,"f","30-06-2020","11:28","ACT","trial 1","3","H","ACT1_3H","D",28.053,43.709,104.991,0.622,36700,49,338,2.03599587663333,202,91.3333333333333,40.4333333333333,""
"84","G25",2122,13.7,29,1.12781092288768,1,"m","30-06-2020","13:34","ACT","trial 1","5","A","ACT1_5A","D",25.941,36.637,116.255,0.686,34641,29,173,1.81196271072904,118.4,24.0333333333333,5.26666666666667,""
"85","G25",2122,13.7,28,1.08892089106397,1,"m","14-07-2020","09:42","ACT","trial 3","1","A","ACT3_1A","D",26.748,41.106,113.167,0.625,35417,50,348,1.75679647318148,64.6333333333333,5,2.63333333333333,""
"86","G25",2122,13.7,29,1.12781092288768,1,"m","07-07-2020","14:50","ACT","trial 2","6","D","ACT2_6D","D",31.318,40.989,142.852,0.746,41122,28,148,1.78910713778106,137.6,51.2666666666667,24.9,""
"87","G36",2126,15.6,52,1.36971290817445,1,"m","07-07-2020","13:45","ACT","trial 2","5","E","ACT2_5E","D",25.834,37.185,99.933,0.676,33137,39,306,2.1709892191548,245.4,39.7666666666667,22.6333333333333,""
"88","G36",2126,15.6,52,1.36971290817445,1,"m","30-06-2020","12:27","ACT","trial 1","4","H","ACT1_4H","D",43.301,49.732,166.225,0.863,56389,7,37,2.0852371110987,244.366666666667,58.7333333333333,13.6,""
"89","G36",2126,15.6,53,1.39605354102396,1,"m","14-07-2020","09:42","ACT","trial 3","1","E","ACT3_1E","D",32.87,41.891,119.573,0.769,42066,31,165,2.25929263347601,346.833333333333,68.6333333333333,25.9,""
"90","G41",2133,14.2,31,1.08267139037358,1,"m","07-07-2020","09:52","ACT","trial 2","1","E","ACT2_1E","C",20.303,36.141,83.93,0.536,26514,55,428,2.42791666666667,410.333333333333,182.666666666667,122.166666666667,""
"91","G41",2133,14.2,32,1.11759627393402,1,"m","30-06-2020","10:27","ACT","trial 1","2","H","ACT1_2H","C",11.277,38.916,43.268,0.259,14882,37,871,1.28822222222222,66.4666666666667,21.5,5.33333333333333,""
"92","G26",2147,13,31,1.41101502048248,3,"f","07-07-2020","14:50","ACT","trial 2","6","B","ACT2_6B","D",18.575,39.888,73.004,0.423,23924,52,648,2.00484518348624,193.766666666667,52.7333333333333,19.2,""
"93","G26",2147,13,32,1.45653163404643,3,"f","14-07-2020","09:42","ACT","trial 3","1","F","ACT3_1F","D",12.021,36.039,44.241,0.3,15804,45,841,1.76139999443563,135.933333333333,35.5666666666667,15.0333333333333,"moderate fin infection"
"94","G26",2147,13,31,1.41101502048248,3,"f","30-06-2020","12:27","ACT","trial 1","4","A","ACT1_4A","D",34.738,46.434,120.822,0.734,43800,27,156,1.81156533206139,154.7,72.6,32.1333333333333,""
"95","G06",2153,13.2,30,1.30436597378746,1,"m","14-07-2020","11:36","ACT","trial 3","3","C","ACT3_3C","E",39.582,55.085,138.474,0.718,50751,42,233,2.12410271812584,242.933333333333,93.6666666666667,62.9333333333333,""
"96","G06",2153,13.2,29,1.26088710799455,1,"m","07-07-2020","11:51","ACT","trial 2","3","C","ACT2_3C","E",49.236,61.498,155.778,0.769,61949,26,125,1.96460895075214,163.033333333333,69.7666666666667,40.2333333333333,"tracking failed to reach >90% detection"
"97","G06",2153,13.2,29,1.26088710799455,1,"m","30-06-2020","14:40","ACT","trial 1","6","D","ACT1_6D","E",59.285,68.989,196.33,0.852,75153,8,35,1.93843852320199,183.9,93.1,49.4333333333333,""
"100","G29",2156,16.7,61,1.30972591730734,1,"m","07-07-2020","11:51","ACT","trial 2","3","D","ACT2_3D","E",35.524,48.084,133.678,0.722,46683,34,251,2.3253751308596,386.166666666667,93.8333333333333,23.2666666666667,""
"101","G29",2156,16.7,60,1.28825500063017,1,"m","30-06-2020","14:40","ACT","trial 1","6","B","ACT1_6B","E",33.766,50.482,110.283,0.651,43480,39,243,2.40931050853137,410.766666666667,97.2666666666667,35.6333333333333,""
