"","mergeID","PITID","FishID","TL","InfectionScore","Sex","TrialDay","TrialRound","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","dist","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1","emergelat.bin.B","endpointlat.bin.B","PC1","PC2"
"102","G49_2",2040,"G49",13.2,2,"m","2","2","C",35,50.88685226,67.19674683,168.4738617,64063.67578,3.9963641538619,2.09049888197062,4.22097721315547,1,1,-0.800748795064963,0.113379263585171
"103","G49_3",2040,"G49",13.2,2,"m","3","4","C",36,43.86082077,58.68994141,154.0198975,54948.60938,4.41763506214125,2.05153389741948,3.5055573969864,1,1,-0.548703236573381,0.334277087945166
"104","G51_1",2044,"G51",14,2,"m","1","1","C",35,27.23720741,67.98152161,82.09333801,34586.71875,6.19195340785739,1.45484993085749,0.641853886172395,0,0,0.406580649131959,-0.550360464422318
"105","G51_2",2044,"G51",14,2,"m","2","2","C",35,23.67273712,46.72647858,97.59044647,32139.01172,6.01591322751029,1.59537114506699,0.693147180559945,0,0,0.476693722333244,-0.285360065616836
"106","G51_3",2044,"G51",14,2,"m","3","4","C",35,1.619325161,19.0460186,8.718090057,2927.288818,7.08623613639015,1.003534401318,0,0,0,1.44514717314078,0.431862878517235
"107","G52_1",1384,"G52",12.5,1,"m","1","2","C",27,54.66368484,82.34716797,137.6223297,66856.45313,3.41772668361337,1.91477470654711,4.65871095291612,0,0,-0.668988985973279,-1.24669558420007
"108","G52_2",1384,"G52",12.5,1,"m","2","1","C",27,45.39187241,63.22473907,158.824646,58162.32422,3.69137633431252,1.98654548884296,4.30811095172371,1,1,-0.676002335030385,0.214864033397753
"109","G52_3",1384,"G52",12.5,1,"m","3","5","C",26,40.64649963,64.23074341,142.9668732,50634.67578,4.64535197562092,1.84258276680903,4.71312732749318,1,1,-0.468556996739506,0.300122405839249
"110","G53_1",1395,"G53",14.3,1,"m","1","1","C",41,52.92849731,67.61283875,175.2804108,67613.3125,3.24259235148552,2.16664887573383,3.49650756146648,0,0,-0.708794724239913,-1.07856328621436
"111","G53_2",1395,"G53",14.3,1,"m","2","1","C",41,40.52087784,59.19631577,159.2367554,51548.54297,4.7999142627806,1.93688373617842,3.67630067190708,1,1,-0.46131138169028,0.370824789693658
"112","G53_3",1395,"G53",14.3,1,"m","3","3","C",41,33.90024948,55.52952576,132.1288605,45063.51953,5.46298398810327,1.78485989329545,4.11087386417331,1,0,-0.120517354349625,-0.0648145878025853
"113","G54_1",1260,"G54",9.5,2,"m","1","2","C",11,34.04102325,68.60132599,102.1281509,42586.16016,5.81263687956828,1.60702723766694,3.97781074596615,0,1,-0.0218262181851432,-0.152200284579326
"114","G54_2",1260,"G54",9.5,2,"m","2","1","C",11,28.10732651,56.8012619,98.10406494,35235.30078,6.0137151560428,1.56387462051729,5.54868690411584,1,1,0.00993101255044032,0.593601975787363
"115","G54_3",1260,"G54",9.5,2,"m","3","4","C",10,29.55580711,56.36487961,103.4840546,36996.96094,5.79605775076537,1.63658619024557,5.21819132206875,1,1,-0.0470580902799856,0.576688241757833
"116","G55_1",2065,"G55",11.3,3,"m","1","2","C",23,40.4336853,80.41731262,108.9354401,49684.91797,5.32933142007721,1.62444306856428,4.01998014693324,0,0,-0.140046119178221,-0.964378466774846
