"","X","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln","Weight"
"67",59,2089,"G31",13.7,1,"m","09-07-2020","15:00","15:10","EXPL","2","7","C","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_7C",0,0,0,0,NA,NA,39
"68",77,2119,"G34",15.4,2,"f","02-07-2020","09:58","10:08","EXPL","1","2","C","D","00:13",13,"00:38",38,25,"01:17",64,"","EXPL1_2C",1,1,1,1,3.2188758248682,4.15888308335967,55
"69",76,2119,"G34",15.4,2,"f","09-07-2020","16:02","16:12","EXPL","2","8","B","D","00:49",49,"02:17",137,88,"00:59",10,"","EXPL2_8B",1,1,1,1,4.47733681447821,2.30258509299405,55
"70",75,2119,"G34",15.4,2,"f","16-07-2020","12:20","12:30","EXPL","3","3","C","D","28:39",1719,NA,2700,NA,"29:13",34,"","EXPL3_3C",1,0,0,0,NA,3.52636052461616,53
"71",26,2021,"G35",15.6,1,"m","02-07-2020","08:42","08:52","EXPL","1","1","B","D","11:10",670,NA,2700,NA,"14:13",183,"","EXPL1_1B",1,0,0,0,NA,5.20948615284142,46
"72",24,2021,"G35",15.6,1,"m","09-07-2020","12:52","13:02","EXPL","2","5","E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_5E",0,0,0,0,NA,NA,47
"73",25,2021,"G35",15.6,1,"m","16-07-2020","13:25","13:35","EXPL","3","4","D","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_4D",0,0,0,0,NA,NA,48
"74",81,2126,"G36",15.6,1,"m","02-07-2020","12:13","12:23","EXPL","1","4","A","D","00:19",19,"00:32",32,13,"00:58",39,"","EXPL1_4A",1,1,1,1,2.56494935746154,3.66356164612965,52
"75",83,2126,"G36",15.6,1,"m","09-07-2020","15:00","15:10","EXPL","2","7","A","D","00:04",4,"00:10",10,6,"00:58",54,"","EXPL2_7A",1,1,1,1,1.79175946922805,3.98898404656427,52
"76",82,2126,"G36",15.6,1,"m","16-07-2020","12:20","12:30","EXPL","3","3","D","D","00:01",1,"00:06",6,5,"00:35",34,"","EXPL3_3D",1,1,1,1,1.6094379124341,3.52636052461616,53
"77",9,1313,"G38",11.7,2,"m","02-07-2020","14:20","14:30","EXPL","1","6","A","C","00:03",3,"00:29",29,26,"01:01",58,"","EXPL1_6A",1,1,1,1,3.25809653802148,4.06044301054642,24
"78",7,1313,"G38",11.7,2,"m","09-07-2020","11:48","11:58","EXPL","2","4","C","C","00:01",1,"00:23",23,22,"00:55",54,"","EXPL2_4C",1,1,1,1,3.09104245335832,3.98898404656427,25
"79",8,1313,"G38",11.7,2,"m","16-07-2020","15:33","15:43","EXPL","3","6","A","C","00:12",12,"00:25",25,13,"01:01",49,"","EXPL3_6A",1,1,1,1,2.56494935746154,3.89182029811063,25
"80",70,2112,"G39",12.9,1,"m","02-07-2020","13:15","13:25","EXPL","1","5","D","C","00:01",1,"00:28",28,27,"01:11",70,"","EXPL1_5D",1,1,1,1,3.29583686600433,4.24849524204936,32
"81",71,2112,"G39",12.9,1,"m","09-07-2020","10:43","10:53","EXPL","2","3","E","C","02:34",154,"02:58",178,24,"03:10",36,"","EXPL2_3E",1,0,1,1,3.17805383034795,3.58351893845611,32
"82",66,2101,"G40",12.8,1,"m","02-07-2020","14:20","14:30","EXPL","1","6","D","C","00:02",2,"00:25",25,23,"02:24",142,"","EXPL1_6D",1,1,1,1,3.13549421592915,4.95582705760126,28
"83",64,2101,"G40",12.8,1,"m","09-07-2020","11:48","11:58","EXPL","2","4","E","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_4E",0,0,0,0,NA,NA,27
"84",65,2101,"G40",12.8,1,"m","16-07-2020","14:29","14:39","EXPL","3","5","D","C",NA,2700,NA,2700,NA,NA,NA,"lethargic with wound","EXPL3_5D",0,0,0,0,NA,NA,28
"85",84,2133,"G41",14.2,1,"m","02-07-2020","12:13","12:23","EXPL","1","4","E","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_4E",0,0,0,0,NA,NA,32
"86",85,2133,"G41",14.2,1,"m","09-07-2020","11:48","11:58","EXPL","2","4","A","C",NA,2700,NA,2700,NA,NA,NA,"new looking wound on side","EXPL2_4A",0,0,0,0,NA,NA,31
"87",19,2014,"G42",15.5,2,"m","02-07-2020","13:15","13:25","EXPL","1","5","C","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_5C",0,0,0,0,NA,NA,45
"88",16,2009,"G44",10.5,2,"m","02-07-2020","12:13","12:23","EXPL","1","4","C","C","01:55",115,NA,2700,NA,"02:49",54,"","EXPL1_4C",1,0,0,0,NA,3.98898404656427,14
"89",18,2009,"G44",10.5,2,"m","09-07-2020","11:48","11:58","EXPL","2","4","B","C","01:57",117,"02:40",160,43,"03:14",77,"","EXPL2_4B",1,0,1,1,3.76120011569356,4.34380542185368,13
"90",17,2009,"G44",10.5,2,"m","16-07-2020","14:29","14:39","EXPL","3","5","E","C","01:17",77,NA,2700,NA,"01:57",40,"","EXPL3_5E",1,0,0,0,NA,3.68887945411394,13
"91",57,2070,"G45",11,3,"f","02-07-2020","14:20","14:30","EXPL","1","6","C","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_6C",0,0,0,0,NA,NA,18
"92",29,2024,"G46",16.3,1,"m","02-07-2020","13:15","13:25","EXPL","1","5","A","C","04:57",297,NA,2700,NA,"15:28",631,"","EXPL1_5A",1,0,0,0,NA,6.44730586254121,50
"93",27,2024,"G46",16.3,1,"m","09-07-2020","12:52","13:02","EXPL","2","5","D","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_5D",0,0,0,0,NA,NA,50
"94",28,2024,"G46",16.3,1,"m","16-07-2020","15:33","15:43","EXPL","3","6","B","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_6B",0,0,0,0,NA,NA,52
"95",58,2084,"G48",9.8,3,"f","02-07-2020","13:15","13:25","EXPL","1","5","B","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_5B",0,0,0,0,NA,NA,12
