"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G41.P04",0.09,0.122,0,0,0.003,0.022,0.147,0.354,0.4,"9% [0%, 40%]"
"p.G42.P04",0.189,0.181,0,0,0.016,0.154,0.321,0.514,0.601,"18.9% [0%, 60.1%]"
"p.G43.P04",0.051,0.068,0,0,0.003,0.019,0.076,0.202,0.233,"5.1% [0%, 23.3%]"
"p.G44.P04",0.057,0.082,0,0,0.003,0.018,0.078,0.24,0.29,"5.7% [0%, 29%]"
"p.G45.P04",0.503,0.279,0,0.002,0.323,0.579,0.706,0.872,0.924,"50.3% [0%, 92.4%]"
"p.G46.P04",0.079,0.114,0,0,0.004,0.023,0.105,0.339,0.409,"7.9% [0%, 40.9%]"
"p.G47.P04",0.043,0.084,0,0,0.002,0.011,0.047,0.189,0.28,"4.3% [0%, 28%]"
"p.G48.P04",0.028,0.068,0,0,0.001,0.004,0.024,0.139,0.21,"2.8% [0%, 21%]"
"p.G49.P04",0.127,0.131,0,0,0.01,0.081,0.219,0.374,0.42,"12.7% [0%, 42%]"
"p.G50.P04",0.206,0.198,0,0,0.013,0.155,0.368,0.553,0.606,"20.6% [0%, 60.6%]"
"p.G51.P04",0.033,0.05,0,0,0.002,0.012,0.043,0.143,0.181,"3.3% [0%, 18.1%]"
"p.G52.P04",0.027,0.043,0,0,0.001,0.008,0.033,0.115,0.147,"2.7% [0%, 14.7%]"
"p.G53.P04",0.05,0.069,0,0,0.003,0.019,0.069,0.201,0.247,"5% [0%, 24.7%]"
"p.G54.P04",0.023,0.042,0,0,0.001,0.006,0.025,0.108,0.147,"2.3% [0%, 14.7%]"
"p.G55.P04",0.025,0.041,0,0,0.001,0.008,0.032,0.107,0.146,"2.5% [0%, 14.6%]"
"p.G01.P05",0.014,0.026,0,0,0,0.002,0.015,0.072,0.092,"1.4% [0%, 9.2%]"
"p.G02.P05",0.016,0.029,0,0,0.001,0.004,0.017,0.083,0.109,"1.6% [0%, 10.9%]"
"p.G03.P05",0.019,0.035,0,0,0.001,0.004,0.019,0.099,0.133,"1.9% [0%, 13.3%]"
"p.G04.P05",0.018,0.033,0,0,0,0.003,0.018,0.089,0.127,"1.8% [0%, 12.7%]"
"p.G05.P05",0.006,0.011,0,0,0,0.001,0.006,0.027,0.039,"0.6% [0%, 3.9%]"
"p.G06.P05",0.025,0.039,0,0,0,0.005,0.036,0.113,0.137,"2.5% [0%, 13.7%]"
"p.G07.P05",0.006,0.012,0,0,0,0.001,0.005,0.028,0.042,"0.6% [0%, 4.2%]"
"p.G08.P05",0.006,0.013,0,0,0,0.001,0.006,0.029,0.044,"0.6% [0%, 4.4%]"
"p.G09.P05",0.043,0.072,0,0,0.001,0.007,0.055,0.212,0.27,"4.3% [0%, 27%]"
"p.G10.P05",0.179,0.077,0,0.004,0.142,0.186,0.227,0.289,0.316,"17.9% [0%, 31.6%]"
"p.G11.P05",0.034,0.063,0,0,0.001,0.005,0.036,0.181,0.253,"3.4% [0%, 25.3%]"
"p.G12.P05",0.023,0.043,0,0,0,0.004,0.025,0.114,0.143,"2.3% [0%, 14.3%]"
"p.G13.P05",0.013,0.023,0,0,0,0.003,0.013,0.063,0.089,"1.3% [0%, 8.9%]"
"p.G14.P05",0.037,0.058,0,0,0.001,0.009,0.047,0.175,0.211,"3.7% [0%, 21.1%]"
"p.G15.P05",0.015,0.037,0,0,0,0.002,0.012,0.073,0.131,"1.5% [0%, 13.1%]"
"p.G16.P05",0.003,0.006,0,0,0,0.001,0.003,0.014,0.02,"0.3% [0%, 2%]"
"p.G17.P05",0.013,0.023,0,0,0,0.003,0.013,0.064,0.085,"1.3% [0%, 8.5%]"
"p.G18.P05",0.013,0.026,0,0,0,0.003,0.013,0.069,0.094,"1.3% [0%, 9.4%]"
"p.G19.P05",0.016,0.036,0,0,0,0.002,0.013,0.088,0.125,"1.6% [0%, 12.5%]"
"p.G20.P05",0.006,0.011,0,0,0,0.001,0.006,0.025,0.035,"0.6% [0%, 3.5%]"
"p.G21.P05",0.012,0.022,0,0,0,0.003,0.012,0.059,0.08,"1.2% [0%, 8%]"
"p.G22.P05",0.015,0.025,0,0,0,0.004,0.017,0.069,0.091,"1.5% [0%, 9.1%]"
"p.G23.P05",0.012,0.023,0,0,0,0.003,0.014,0.058,0.082,"1.2% [0%, 8.2%]"
"p.G24.P05",0.043,0.073,0,0,0.001,0.007,0.049,0.213,0.268,"4.3% [0%, 26.8%]"
"p.G25.P05",0.032,0.046,0,0,0.001,0.009,0.049,0.131,0.159,"3.2% [0%, 15.9%]"
"p.G26.P05",0.058,0.104,0,0,0,0.004,0.057,0.322,0.362,"5.8% [0%, 36.2%]"
"p.G27.P05",0.051,0.074,0,0,0.001,0.011,0.076,0.219,0.258,"5.1% [0%, 25.8%]"
"p.G28.P05",0.103,0.107,0,0,0.003,0.065,0.185,0.305,0.335,"10.3% [0%, 33.5%]"
"p.G29.P05",0.023,0.04,0,0,0.001,0.005,0.026,0.117,0.153,"2.3% [0%, 15.3%]"
"p.G30.P05",0.004,0.009,0,0,0,0.001,0.003,0.017,0.028,"0.4% [0%, 2.8%]"
"p.G31.P05",0.015,0.03,0,0,0,0.003,0.015,0.072,0.104,"1.5% [0%, 10.4%]"
"p.G32.P05",0.06,0.075,0,0,0.002,0.02,0.104,0.214,0.238,"6% [0%, 23.8%]"
"p.G33.P05",0.013,0.022,0,0,0.001,0.003,0.015,0.061,0.079,"1.3% [0%, 7.9%]"
"p.G35.P05",0.022,0.04,0,0,0.001,0.005,0.026,0.108,0.144,"2.2% [0%, 14.4%]"
"p.G36.P05",0.048,0.068,0,0,0.001,0.012,0.076,0.198,0.241,"4.8% [0%, 24.1%]"
"p.G37.P05",0.018,0.032,0,0,0,0.003,0.019,0.086,0.117,"1.8% [0%, 11.7%]"
"p.G38.P05",0.01,0.019,0,0,0,0.002,0.01,0.051,0.071,"1% [0%, 7.1%]"
"p.G39.P05",0.014,0.027,0,0,0,0.002,0.013,0.071,0.101,"1.4% [0%, 10.1%]"
"p.G40.P05",0.007,0.013,0,0,0,0.001,0.007,0.032,0.047,"0.7% [0%, 4.7%]"
"p.G41.P05",0.014,0.024,0,0,0,0.003,0.015,0.068,0.092,"1.4% [0%, 9.2%]"
