"","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","PITID","FishID","Treatment","TL","SL","Sex","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","avespeed_tot.sqrt","aveacceler.sqrt","dist.sqrt","centretime.lnplus1"
"83","12-11-2020","14:10","ACT",5,5,"C","D_2",NA,"K12","cont",15.1,13,"M",48,1.652751803,16.12610817,10.36556149,0.003555951,2395.104248,1190.8,297.7,0,"","ACT5_5C",1.2855939495035,3.21955920740713,48.9398022881172,0
"84","12-11-2020","14:10","ACT",5,5,"D","D_2",1422,"K09","clip",16.5,14.6,"M",85,12.41482925,62.37129593,40.85140228,0.173685968,15862.62891,886.3,20.6,88.8,"","ACT5_5D",3.52346835518641,6.39151017209548,125.946928942313,4.49758497530815
"85","12-11-2020","14:10","ACT",5,5,"E","D_3",1264,"K13","clip",13.3,11.5,"F",44,35.64722443,65.86169434,109.9752579,0.520224452,44045.48828,313,6.8,278.7,"","ACT5_5E",5.97052966075875,10.48690888203,209.870170057586,5.63371760020791
"86","12-11-2020","14:10","ACT",5,5,"F","D_3",1265,"K14","clip",16.8,14.8,"M",80,29.52430344,51.01284409,114.869606,0.52965194,38129.97266,181.3,6.7,70.2,"","ACT5_5F",5.43362709798897,10.7177239188178,195.268975159906,4.26549281841793
"87","12-11-2020","14:10","ACT",5,5,"G","D_3",NA,"K16","cont",13.2,11,"M",30,5.723193169,64.13763428,23.02814293,0.071202353,7214.705566,1097.2,36.6,18.9,"","ACT5_5G",2.39231962099549,4.79876472959448,84.9394229201023,2.99071973173045
"88","12-11-2020","14:10","ACT",5,5,"H","D_3",NA,"K17","cont",16.7,14,"M",71,29.82673645,58.63934326,102.6637421,0.480508983,37649.23438,386.7,9,31,"","ACT5_5H",5.46138594589322,10.132311784583,194.034106228776,3.46573590279973
"89","12-11-2020","15:15","ACT",5,6,"A","D_3",1375,"K15","pit",13.4,11.3,"M",39,44.29968262,67.98765564,111.7460785,0.630771399,54639.45703,108.9,4.5,38.3,"","ACT5_6A",6.65580067459956,10.5710017737204,233.750843912915,3.67122451887522
"90","12-11-2020","15:15","ACT",5,6,"B","D_3",1380,"K18","pit",13.3,11.3,"M",39,16.14258003,72.30770874,48.51836395,0.205078349,19895.52148,886.1,9.4,88.1,"","ACT5_6B",4.01778297447734,6.96551246858406,141.051485210188,4.48975933447676
"91","12-11-2020","15:15","ACT",5,6,"C","D_4",1317,"K24","clip",12.5,10.8,"F",31,26.30381203,59.31219482,78.50252533,0.420003355,32476.30273,454.2,8.1,98,"","ACT5_6C",5.12872421075651,8.86016508480514,180.211827386551,4.59511985013459
"92","12-11-2020","15:15","ACT",5,6,"D","D_4",NA,"K23","cont",13.4,11.1,"M",31,49.81053543,77.41882324,135.2647858,0.629387558,61723.44141,232.2,5.3,22.8,"","ACT5_6D",7.05765792809484,11.6303390234335,248.442028268166,3.16968558067743
"93","12-11-2020","15:15","ACT",5,6,"E","D_4",1332,"K22","clip",12.9,10.6,"M",39,22.04027939,53.9276886,64.85943604,0.381514609,27567.38867,511,8.5,131.3,"","ACT5_6E",4.69470759366332,8.05353562356311,166.034299679313,4.88507207112091
"94","12-11-2020","15:15","ACT",5,6,"F","D_4",NA,"K20","cont",11.5,9.6,"M",29,33.13348007,52.1868782,104.4210815,0.607438028,41364.43359,186.2,5.3,105.7,"","ACT5_6F",5.75616887087236,10.2186633910703,203.382481030201,4.67002115830771
"95","12-11-2020","15:15","ACT",5,6,"G","D_4",1256,"K19","pit",12,10.5,"M",20,18.8871479,63.82653046,61.9709816,0.27205801,23613.66016,730.3,7.2,82.7,"","ACT5_6G",4.34593464055777,7.87216498810842,153.667368559496,4.42723897749543
"96","12-11-2020","15:15","ACT",5,6,"H","D_4",1434,"K21","pit",10.3,8.8,"F",16,24.72275352,54.10123062,83.41921997,0.429325521,31060.09961,479.4,7.5,47.5,"","ACT5_6H",4.97219805719764,9.13341228512104,176.238757400295,3.88156379794344
